"";"X";"Data.mostreig";"darrers_14";"darrers_7";"set_i_set";"mitjana_7";"N1.Concentracio.final";"Cabal.influent.últimes.24h.calculat";"Laboratori";"EDAR";"load_N1";"log_14";"log_7";"log_7_7";"log_mean_7";"log_N1";"sim_median_1_5";"sim_median_2_4";"sim_median_3_3";"sim_median_4_2";"sim_median_5_1"
"89";89;"2020-08-10";9;4;5;0,57;2394,45;12203;"Virus Entèrics-UB";"DPUI";29219473350;0,954242509439325;0,602059991327962;0,698970004336019;-0,244125144327509;10,4656723839716;127936,615126643;15308,7102399945;1738,64682815775;197,511401533384;23,7838144882866
"90";90;"2020-08-10";96;45;89;6,43;5337,84;17971;"Virus Entèrics-UB";"DABR";95926322640;1,98227123303957;1,65321251377534;1,94939000664491;0,808210972924222;10,9819377959996;419029,245419156;50499,6826041471;5757,61192681737;647,566430268211;77,8665973395448
"91";91;"2020-08-10";662;342;622;48,86;1428,72;26939;"Virus Entèrics-UB";"DSRS";38488288080;2,8208579894397;2,53402610605613;2,79379038469082;1,68895346263742;10,5853285945463;167880,078372433;20202,4740203832;2293,1690132535;260,753635456279;31,2779164060255
"92";92;"2020-08-03";79;48;58;6,86;3612,63;4850;"EURECAT";"DAMP";17521255500;1,89762709129044;1,68124123737559;1,76342799356294;0,836324115706752;10,243565222676;76593,2146825154;9140,61239287254;1044,61388721626;118,337228541945;14,2247143704355
"93";93;"2020-08-03";65;40;67;5,71;1774,05;5519;"EURECAT";"DTOT";9790981950;1,81291335664286;1,60205999132796;1,82607480270083;0,756636108245848;9,99082624993193;42806,3811045361;5121,71537450812;582,768606936714;65,9511448919218;7,95255457946489
"94";94;"2020-08-03";96;39;94;5,57;8810,01;14980;"EURECAT";"DRUS";131973949800;1,98227123303957;1,5910646070265;1,9731278535997;0,745855195173729;11,1204882147315;577721,197894313;68984,8556530709;7822,7381298399;890,245849893684;107,04693552943
"95";95;"2020-08-03";118;57;98;8,14;6993,5;7378;"EURECAT";"DBAL";51598043000;2,07188200730613;1,75587485567249;1,99122607569249;0,910624404889201;10,7126332301075;225881,063748998;26920,4708721396;3075,03422815473;349,809065424664;41,9815057150946
"96";96;"2020-08-03";67;46;62;6,57;2917,35;27728;"EURECAT";"DVLC";80892280800;1,82607480270083;1,66275783168157;1,79239168949825;0,817565369559781;10,9079070807481;354729,155276774;42277,7988526764;4817,07310086149;548,816296598341;65,5516387466718
"97";97;"2020-08-10";28;18;35;2,57;18340,98;5886;"UB_Girones";"DMAN";107955008280;1,44715803134222;1,25527250510331;1,54406804435028;0,409933123331295;11,033242795053;470776,64692593;56201,47848874;6418,43168952095;728,595434879245;87,7483305265362
"98";98;"2020-08-10";100;34;58;4,86;16749,77;20814;"UB_Girones";"DIGU";348629712780;2;1,53147891704226;1,76342799356294;0,686636269262293;11,542364398111;1513396,64916629;181233,526259941;20690,68772549;2365,48430035957;283,190915391598
"99";99;"2020-08-10";124;40;99;5,71;32897,58;21378;"UB_Girones";"DMAS";703284465240;2,09342168516224;1,60205999132796;1,99563519459755;0,756636108245848;11,8471310244445;3070587,23677216;369481,434801517;41984,6525681299;4779,66645934049;571,373644534904
"100";100;"2020-08-10";9;5;8;0,71;1413,72;2059;"UB_Girones";"DSLL";2910849480;0,954242509439325;0,698970004336019;0,903089986991944;-0,148741651280925;9,46401974865574;12739,3819855663;1524,37646741128;173,398511545584;19,7370040412513;2,36281011672943
"101";101;"2020-08-10";549;261;506;37,29;1585,03;40615;"UB_Girones";"DGVC";64375993450;2,73957234445009;2,41664050733828;2,7041505168398;1,57159238336131;10,8087239441312;282084,860180667;33861,2031632003;3836,95733750447;436,398019847305;52,2724704813264
