EDAR;Date;cases;N1 gc/l;HAdV gc/l;flow 24h;N1 total;HAdV total;N1/HAdV;N1 total log;cases log;HAdV log
DSLL;2020-10-12;2;2,36E+02;1,65E+04;2,01E+03;4,73E+08;3,32E+10;0,01;8,67492538;0,301029996;10,52113434
DSLL;2020-10-05;1;1,93E+02;1,59E+04;2,34E+03;4,51E+08;3,72E+10;0,01;8,654643576;0;10,57075893
DSLL;2020-09-28;2;2,58E+03;;2,43E+03;6,27E+09;;;9,796927974;0,301029996;#NUM!
DSLL;2020-09-21;20;1,99E+03;1,41E+04;3,20E+03;6,38E+09;4,50E+10;0,14;9,804745972;1,301029996;10,65328148
DSLL;2020-09-14;2;2,08E+03;2,70E+04;2,34E+03;4,87E+09;6,30E+10;0,08;9,687289272;0,301029996;10,79931224
DSLL;2020-09-07;1;3,40E+04;6,71E+03;2,57E+03;8,74E+10;1,73E+10;5,06;10,94161689;0;10,23705485
DSLL;2020-08-31;5;4,68E+03;1,49E+05;2,81E+03;1,32E+10;4,20E+11;0,03;10,11953435;0,698970004;11,62305669
DSLL;2020-08-24;3;2,21E+04;1,24E+04;2,00E+03;4,42E+10;2,48E+10;1,78;10,64555156;0,477121255;10,39491907
DSLL;2020-08-17;2;1,56E+04;9,64E+02;2,09E+03;3,25E+10;2,01E+09;16,14;10,51183079;0,301029996;9,303938157
DSLL;2020-08-10;6;1,41E+03;1,07E+03;2,06E+03;2,91E+09;2,20E+09;1,32;9,464019749;0,77815125;9,342064912
DSLL;2020-08-03;5;4,17E+04;7,61E+04;2,18E+03;9,10E+10;1,66E+11;0,55;10,95904285;0,698970004;11,22009933
DSLL;2020-07-27;12;1,82E+02;2,28E+02;2,52E+03;4,59E+08;5,76E+08;0,80;8,661805873;1,079181246;8,760248731
DSLL;2020-07-20;26;4,00E+03;3,95E+03;2,68E+03;1,07E+10;1,06E+10;1,01;10,03018902;1,414973348;10,02446975
DSLL;2020-07-13;1;5,00E+02;1,36E+04;2,34E+03;1,17E+09;3,19E+10;0,04;9,068371418;0;10,50440042
DSLL;2020-07-06;10;4,90E+02;3,92E+04;2,84E+03;1,39E+09;1,11E+11;0,01;9,142571844;1;11,04567934
DSFL;2020-10-26;1330;5,54E+04;6,14E+04;5,02E+04;2,78E+12;3,08E+12;0,90;12,44473462;3,123851641;12,48890383
DSFL;2020-10-19;770;4,60E+04;8,56E+04;5,51E+04;2,53E+12;4,71E+12;0,54;12,40396128;2,886490725;12,67336734
DSFL;2020-10-12;629;4,26E+04;5,87E+04;5,53E+04;2,36E+12;3,25E+12;0,73;12,37233033;2,798650645;12,51138464
DSFL;2020-10-05;405;4,62E+03;4,40E+04;4,95E+04;2,29E+11;2,18E+12;0,10;11,35928847;2,607455023;12,33865368
DSFL;2020-09-28;285;5,92E+03;;5,31E+04;3,14E+11;;;11,49754162;2,45484486;#NUM!
DSFL;2020-09-21;271;3,36E+03;3,30E+04;6,26E+04;2,10E+11;2,07E+12;0,10;11,32323264;2,432969291;12,31551179
DSFL;2020-09-14;244;4,85E+02;6,37E+04;5,61E+04;2,72E+10;3,57E+12;0,01;10,43504594;2,387389826;12,5531345
DSFL;2020-09-07;296;7,72E+03;2,75E+03;5,66E+04;4,37E+11;1,56E+11;2,80;11,64009923;2,471291711;11,19232024
DSFL;2020-08-31;277;1,70E+04;5,95E+02;5,48E+04;9,31E+11;3,26E+10;28,51;11,96876855;2,442479769;10,51370137
DSFL;2020-08-24;243;2,69E+04;2,71E+04;4,43E+04;1,19E+12;1,20E+12;0,99;12,07672682;2,385606274;12,07972523
DSFL;2020-08-17;201;2,47E+05;6,83E+03;4,11E+04;1,01E+13;2,80E+11;36,15;13,00569145;2,303196057;11,44761115
DSFL;2020-08-10;230;2,04E+04;3,09E+03;3,94E+04;8,01E+11;1,22E+11;6,58;11,90386431;2,361727836;11,0856783
DSFL;2020-08-03;315;2,01E+04;4,84E+03;5,00E+04;1,00E+12;2,42E+11;4,15;12,00211599;2,498310554;11,38458426
DSFL;2020-07-27;251;1,10E+04;4,10E+03;4,90E+04;5,39E+11;2,01E+11;2,68;11,73135742;2,399673721;11,30283615
