NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-07-05;2021-07-11;Si;;;189.9143;148.1907;103;6249.9100;3109;1235;3.4601;32;2;1;53;50;53;48;2124;795;177;221
CATALUNYA;GLOBAL;2021-07-04;2021-07-10;--;;;0.0000;0.0000;1622;0.0000;315;22;37.4214;99;9;0;308;1314;113;6;299;19;2566;1044
CATALUNYA;GLOBAL;2021-07-04;2021-07-10;Si;;;181.2819;143.8745;100;6095.9643;3093;1144;3.3720;36;3;1;49;51;49;47;2114;733;178;227
CATALUNYA;GLOBAL;2021-07-04;2021-07-10;No;1432.87;1.44112;994.2703;609.9524;47037;3423.6800;160979;103041;19.3310;877;123;17;18799;28238;19116;27555;145428;96003;244356;458905
CATALUNYA;GLOBAL;2021-07-03;2021-07-09;No;1513.99;1.593;950.4012;597.9704;46113;3429.8396;163581;100914;18.9306;806;108;17;18746;27367;19057;26751;147925;94053;248956;451524
CATALUNYA;GLOBAL;2021-07-03;2021-07-09;--;;;0.0000;0.0000;1627;0.0000;318;23;36.4486;91;11;0;305;1322;113;4;301;20;2608;1061
CATALUNYA;GLOBAL;2021-07-03;2021-07-09;Si;;;169.7719;138.1195;96;5947.7735;3113;1021;3.3441;40;3;1;48;48;49;44;2132;649;185;221
CATALUNYA;GLOBAL;2021-07-02;2021-07-08;Si;;;140.9970;116.5383;81;4991.0078;2621;848;3.2164;33;3;1;39;42;39;38;1831;563;224;253
CATALUNYA;GLOBAL;2021-07-02;2021-07-08;No;1731.59;1.98731;871.3254;573.2543;44207;3322.5205;159019;97200;18.5013;724;90;16;18133;26074;18079;25332;144035;90603;259945;461212
CATALUNYA;GLOBAL;2021-07-02;2021-07-08;--;;;0.0000;0.0000;1590;0.0000;306;24;36.8590;74;11;0;294;1296;110;5;291;21;2759;1280
CATALUNYA;GLOBAL;2021-07-01;2021-07-07;--;;;0.0000;0.0000;1575;0.0000;306;23;31.9489;61;10;0;279;1296;96;4;292;21;2943;1354
CATALUNYA;GLOBAL;2021-07-01;2021-07-07;Si;;;106.4671;86.3247;60;4050.0683;2003;812;3.1298;27;2;1;32;28;34;27;1417;532;229;263
CATALUNYA;GLOBAL;2021-07-01;2021-07-07;No;1902.44;2.45783;774.0302;542.3658;41825;3181.7324;151672;93690;18.0649;632;78;13;17083;24742;16746;23853;137420;87320;257522;466228
CATALUNYA;GLOBAL;2021-06-30;2021-07-06;No;1974.7;2.9242;675.2956;504.8897;38935;3009.0701;142748;89299;17.6080;571;70;14;15894;23041;15414;22014;129235;83327;284827;442753
CATALUNYA;GLOBAL;2021-06-30;2021-07-06;--;;;0.0000;0.0000;1474;0.0000;287;29;27.6667;57;10;0;225;1249;77;6;274;26;2826;1488
CATALUNYA;GLOBAL;2021-06-30;2021-07-06;Si;;;90.6409;67.6210;47;3688.9432;1891;673;2.6130;24;2;1;25;22;27;21;1393;444;231;240
CATALUNYA;GLOBAL;2021-06-29;2021-07-05;--;;;0.0000;0.0000;1344;0.0000;259;30;22.0588;47;9;0;185;1159;54;6;246;26;2890;1845
CATALUNYA;GLOBAL;2021-06-29;2021-07-05;Si;;;90.6409;54.6723;38;3263.0745;1798;470;2.4405;19;1;0;22;16;24;16;1349;290;234;251
CATALUNYA;GLOBAL;2021-06-29;2021-07-05;No;1915.32;3.29338;581.5665;455.6650;35139;2823.8682;134689;83076;16.8643;507;67;13;14454;20685;13996;19621;121857;77481;299897;422062
CATALUNYA;GLOBAL;2021-06-28;2021-07-04;No;1694.43;3.43653;493.0633;403.4968;31116;2661.1390;127511;77705;15.9543;470;63;12;12924;18192;12697;17260;115331;72436;310628;412308
CATALUNYA;GLOBAL;2021-06-28;2021-07-04;--;;;0.0000;0.0000;1223;0.0000;234;33;17.2000;38;9;0;145;1078;36;7;221;29;2852;2010
CATALUNYA;GLOBAL;2021-06-28;2021-07-04;Si;;;76.2535;41.7236;29;3083.2314;1823;320;1.9317;14;1;0;19;10;20;10;1351;202;237;255
CATALUNYA;GLOBAL;2021-06-27;2021-07-03;--;;;0.0000;0.0000;1153;0.0000;237;32;17.3913;38;8;0;138;1015;36;8;225;28;2869;1982
CATALUNYA;GLOBAL;2021-06-27;2021-07-03;Si;;;69.0597;37.4073;26;3073.1602;1824;312;1.7419;10;0;0;19;7;20;7;1355;195;240;255
CATALUNYA;GLOBAL;2021-06-27;2021-07-03;No;1612.67;3.49353;461.6171;384.3178;29637;2584.2676;124008;75280;15.6038;440;64;10;12420;17217;12130;16315;112153;70142;314711;414925
CATALUNYA;GLOBAL;2021-06-26;2021-07-02;--;;;0.0000;0.0000;1061;0.0000;227;28;17.6955;33;6;0;135;926;35;8;218;25;2790;2007
CATALUNYA;GLOBAL;2021-06-26;2021-07-02;Si;;;61.8660;31.6523;22;2897.6332;1735;279;1.5089;7;0;0;18;4;17;5;1277;181;233;258
CATALUNYA;GLOBAL;2021-06-26;2021-07-02;No;1437.11;3.40745;421.7550;352.4307;27178;2423.4576;115078;71809;15.1801;406;65;8;11359;15819;10987;14957;104041;66867;310606;419886
CATALUNYA;GLOBAL;2021-06-25;2021-07-01;No;1101.0;3.08476;356.9175;298.0710;22986;2154.2393;100491;65635;14.3149;368;56;8;9391;13595;9001;12753;90899;61068;301216;392881
CATALUNYA;GLOBAL;2021-06-25;2021-07-01;--;;;0.0000;0.0000;909;0.0000;217;24;14.6018;37;6;0;121;788;26;7;204;22;2214;1741
CATALUNYA;GLOBAL;2021-06-25;2021-07-01;Si;;;53.2335;24.4586;17;2693.3314;1605;267;1.2039;9;0;0;13;4;12;4;1157;172;167;222
CATALUNYA;GLOBAL;2021-06-24;2021-06-30;--;;;0.0000;0.0000;697;0.0000;164;19;14.2012;34;5;0;89;608;17;7;152;17;1493;1506
CATALUNYA;GLOBAL;2021-06-24;2021-06-30;Si;;;47.4785;20.1424;14;2448.7446;1523;179;1.0543;11;0;0;11;3;10;3;1108;125;130;168
CATALUNYA;GLOBAL;2021-06-24;2021-06-30;No;762.347;2.60844;292.2615;231.6644;17865;1755.5145;82206;53172;13.5076;340;48;8;7267;10598;6898;9844;74477;49468;266779;335766
CATALUNYA;GLOBAL;2021-06-23;2021-06-29;No;487.307;2.16133;225.4659;170.4059;13141;1554.1681;72722;47129;11.0989;310;49;7;5514;7627;5142;7053;66112;43764;257081;321633
CATALUNYA;GLOBAL;2021-06-23;2021-06-29;--;;;0.0000;0.0000;517;0.0000;143;17;8.8435;32;4;0;68;449;8;5;132;15;1258;1350
CATALUNYA;GLOBAL;2021-06-23;2021-06-29;Si;;;43.1623;23.0199;16;2266.0240;1411;164;1.3962;16;0;0;13;3;13;3;1029;117;129;163
